name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,2022-01-16,27.5,18.0,22.3,27.3,18.0,22.2,16.9,74.4,0.0,0,0.0,rain,0,0,31.3,15.6,91.9,1017.5,50.9,5.4,210.1,18.3,7,10.0,2022-01-16T06:45:56,2022-01-16T18:12:50,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-17,27.0,18.0,21.8,27.2,18.0,21.8,16.1,73.4,0.0,0,0.0,rain,0,0,31.3,25.3,88.7,1019.3,56.5,6.0,193.6,16.9,8,10.0,2022-01-17T06:46:04,2022-01-17T18:13:23,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-18,26.9,15.0,21.0,27.0,15.0,21.0,15.2,72.6,0.0,0,0.0,rain,0,0,30.2,20.2,77.2,1018.6,48.2,5.6,205.0,17.8,8,10.0,2022-01-18T06:46:12,2022-01-18T18:13:55,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-19,27.1,16.0,21.4,26.8,16.0,21.4,13.9,66.3,0.0,0,0.0,,0,0,24.8,14.8,72.4,1017.1,38.4,5.7,248.3,21.5,9,10.0,2022-01-19T06:46:18,2022-01-19T18:14:26,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-20,29.9,14.5,21.8,28.7,14.5,21.6,12.4,60.2,0.0,0,0.0,,0,0,24.8,11.2,9.6,1015.4,15.4,5.5,259.7,22.3,9,10.0,2022-01-20T06:46:23,2022-01-20T18:14:58,0.58,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-21,31.3,15.0,22.7,29.3,15.0,22.3,11.5,56.1,0.0,0,0.0,,0,0,30.2,18.3,346.9,1015.5,9.5,6.1,262.0,22.8,9,10.0,2022-01-21T06:46:27,2022-01-21T18:15:29,0.62,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-22,30.9,16.0,22.5,29.5,16.0,22.2,12.2,56.5,0.0,0,0.0,,0,0,26.3,14.6,278.4,1014.1,13.3,5.9,260.9,22.5,9,10.0,2022-01-22T06:46:29,2022-01-22T18:15:59,0.65,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-23,30.3,16.0,22.8,28.8,16.0,22.5,10.6,50.7,0.0,0,0.0,,0,0,30.6,14.9,263.5,1014.0,16.9,6.7,256.6,22.1,9,10.0,2022-01-23T06:46:31,2022-01-23T18:16:29,0.69,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-24,28.9,15.5,22.1,27.6,15.5,21.8,10.9,53.1,0.0,0,0.0,,0,0,26.6,12.8,267.7,1013.5,19.1,7.1,261.8,22.6,9,10.0,2022-01-24T06:46:32,2022-01-24T18:16:59,0.72,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-25,28.0,16.0,22.0,27.6,16.0,22.0,13.9,62.8,0.0,0,0.0,,0,0,25.9,11.2,158.1,1013.6,44.4,5.7,240.8,21.0,8,10.0,2022-01-25T06:46:31,2022-01-25T18:17:28,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-26,27.8,17.5,22.5,27.9,17.5,22.5,15.8,68.1,0.0,0,0.0,rain,0,0,25.9,18.0,141.1,1014.1,52.2,5.8,200.7,17.3,8,10.0,2022-01-26T06:46:30,2022-01-26T18:17:57,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-27,26.0,19.9,22.2,26.0,19.9,22.2,17.4,75.5,0.6,100,20.83,rain,0,0,27.7,20.2,106.3,1014.6,65.6,5.3,179.2,15.5,7,10.0,2022-01-27T06:46:27,2022-01-27T18:18:25,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-28,25.9,18.0,21.3,25.9,18.0,21.3,16.4,75.4,0.2,100,8.33,rain,0,0,42.1,18.4,86.9,1016.3,53.9,5.8,185.8,16.1,8,10.0,2022-01-28T06:46:23,2022-01-28T18:18:52,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-29,26.9,16.5,21.5,27.6,16.5,21.6,16.2,73.8,0.0,0,0.0,,0,0,38.2,18.2,85.0,1017.5,74.1,5.1,205.6,17.7,9,10.0,2022-01-29T06:46:18,2022-01-29T18:19:19,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-30,29.3,16.0,23.2,30.1,16.0,23.3,17.4,72.8,0.0,0,0.0,,0,0,19.8,14.4,96.8,1016.6,48.8,5.7,206.7,17.8,8,10.0,2022-01-30T06:46:12,2022-01-30T18:19:46,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-31,29.9,20.0,24.2,30.2,20.0,24.2,17.6,69.8,0.0,0,0.0,,0,0,20.2,11.3,106.8,1015.6,54.6,5.5,243.1,20.9,9,10.0,2022-01-31T06:46:05,2022-01-31T18:20:12,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-01,29.9,19.0,23.8,29.3,19.0,23.7,17.0,69.9,0.0,0,0.0,,0,0,25.2,11.2,92.3,1015.1,39.3,4.7,252.0,21.9,9,10.0,2022-02-01T06:45:57,2022-02-01T18:20:37,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
